English	Hungarian	Spanish	Chinese	Portuguese
Client related communication	Ügyfélel kapcsolatás kommunikáció	Comunicación relacionada con el cliente	客户报告	Comunicação relacionada a cliente
Client Reporting	Ügyfél Riportálás	Informes de clientes	客户沟通汇报	Relatório de cliente
Client/Prospect – follow up	Ügyfél/Kapcsolat utánkövetés	Cliente / prospecto - seguimiento	客户/前端-跟进	Cliente/Proposta - follow up
Client/Prospect  meeting	"Ügyfél/Kapcsolat megbesy;l;s"	Reunión cliente / prospecto	客户/前端-会议	Cliente/Proposta - reunião
CN support	CN támogatás	Soporte CN	CN协助	Suporte CN
Cold Calls	Cold Calls	Llamadas en frío	电话推销	Ligação fria
Comment	Megjegyzés	Comentario	备注	Comentário
Comment:	Megjegyzés:	Comentario:	备注：	Comentário:
Comments	Megjegyzések	Comentarios	备注项	Comentários
Company Name	Cégnév	Nombre de empresa	公司名称	Nome da empresa
Contract Expires	Szerződés lejárat	El contrato finaliza	终止合同	Contrato expira
Contract Expiry Date	Szerződés lejárati ideje	Fecha de vencimiento del contrato	合同到期日期	Data da expiração do contrato
Copy	Másol	Copiar	复制	Copiar
Cost-out, RFP	Ajánlatkészítés	Coste, RFP	成本，招标书	Cost-Out, RFP
Country Codes…	Országkódok…	Códigos de país ...	国家代码	Código de países...
Create New Vendor	Új szolgáltató létrehozása	Crear nuevo proveedor	录入新供应商	Criar novo fornecedor
Created	Létrehozva	Creado	创建	Criado
Creating client proposal	Ügyfélajánlat létrehozása	Creando propuesta de cliente	创建客户的建议/提议	Criando proposta para cliente
Creating Process/Procedures	Folyamat létrehozása	Creación de procesos / procedimientos	创建过程/流程	Criando processos/procedimentos
Credit memos entering/approving	Jóváíró számla létrehozás/kezelés	Ingreso de memos de crédito/aprovando	创建过程/程序	Aprovando/Inserindo credit memos
Cross Departmental Support - BI	Osztályközi támogatás - BI	Soporte transversal departamental - BI	货款录入及批准	Suporte entre departamentos - BI
Cross Departmental Support - DQ	Osztályközi támogatás - DQ	Soporte interdepartamental - DQ	跨部门协助-BI	Suporte entre departamentos - DQ
Cross Departmental Support - Finance	Osztályközi támogatás - Pénzügy	Apoyo interdepartamental: finanzas	跨部门协助-DQ	Suporte entre departamentos - Financeiro
Cross Departmental Support - HR	Osztályközi támogatás - HR	Apoyo interdepartamental - RRHH	跨部门协助-财务	Suporte entre departamentos - RH
Cross Departmental Support - IT	Osztályközi támogatás - IT	Soporte interdepartamental: TI	跨部门协助-IT	Suporte entre departamentos - TI
Cross Departmental Support - KAM	Osztályközi támogatás - KAM	Soporte transversal departamental - KAM	跨部门协助-KAM	Suporte entre departamentos - KAM
Cross Departmental Support - MKTG	Osztályközi támogatás - MKTG	Soporte interdepartamental - MKTG	跨部门协助-市场	Suporte entre departamentos - MKTG
Cross Departmental Support - RM	Osztályközi támogatás - RM	Soporte interdepartamental - RM	跨部门协助-RM	Suporte entre departamentos - RM
Cross Departmental Support - Sales	Osztályközi támogatás - Sales	Soporte transversal departamental - Ventas	跨部门协助-销售	Suporte entre departamentos - Vendas
Currency	Pénznem	Divisa	货币	Moeda
Data Checking in Excel	Adatellenőtzés Excelben	Verificación de datos en Excel	表格数据核对	Checagem de dados no Excel
Data cleaning, checking and matching	Datatisztázás, ellenőrzés és összekötés	Limpieza, verificación y comparación de datos	数据筛选，核对及匹配	Limpeza de dados, checagem e matching
Date	Dátum	Fecha	数据	Data
Delete	Törlés	Borrar	删除	Deletar
Department	Osztály	Departamento	部门	Departamento
DQ Supervisor	DQ Csoportvezető	Supervisor DQ	DQ主管	Supervisor DQ
Edit	Módosít	Editar	编辑	Editar
Edit Timesheet Entry	Jelenléti ív módosítása	Editar entrada de parte de horas	编辑Timesheet条目	Editar entrada na TimeSheet
Editing reports (First Line Editing)	Minőségellenőrzés (1. szintű)	Edición de informes (edición de primera línea)	编辑报告（一轮编辑）	Editando relatórios (Primeira linha de edição)
Editor Assignments	Editor megbízások	Asignaciones de editor	编辑任务	Alocação de relatórios
Editor Invoicing	Editor számlázás	Facturación del editor	编辑费用处理	Pagamento de editores
Email	E-mail	Correo electrónico	邮件	E-mail
E-mail	E-mail	Correo electrónico	邮件	E-mail
Employee Attendance Control	Munkavállalói részvétel ellenőrzése	Control de asistencia de los empleados	员工出勤率考核	Controle de assiduidade do funcionário
Employee Benefits payment	Munkavállalói juttatások kifizetése	Pago de beneficios para empleados	员工福利支付	Pagamento de benefício de funcionário
Employee Feedback	Munkavállalói visszajelzések	Comentarios de los empleados	员工反馈	Feedback do funcionário
End	Vége	Final	结束	Fim
End date:	Vég dátum:	Fecha final:	结束日期	Data final:
End time:	Vég idő:	Hora de finalización:	结束时间	Horário de término:
Entering Data in Accounting software	Adatok bevitele a Számviteli rendszerbe	Introducción de datos en el software de contabilidad	在会计软件中输入数据	Inserindo dados no sistema de contabilidade
Entry overlaps with an existing entry:	A bejegyzés átfedésben van egy meglévő bejegyzéssel:	La entrada se superpone a una entrada existente:	在现有条目上重新输入数据：	O horário inserido corresponde à outra atividade já inserida
EU support	EU támogatás	Apoyo de la UE	EU 协助	Suporte EU
Export	Export	Exportar	导出	Export
Fee	Díj	Tarifa	费用	Fee
Fee Type	Díj típus	Tipo de tarifa	费用类型	Tipo de fee
Fees	Díjak	Tarifa	费用	Fees
Fieldwork Partner	Fieldwork Partner	Socio de trabajo de campo	工作伙伴	Parceiro de campo
First Name	Keresztnév	Primer nombre	名字	Primeiro nome
First Name	Keresztnév	Primer nombre	名字	Primeiro nome
Follow up	Utánkövetés	Seguimiento	跟进	Follow up
Friday	Péntek	Viernes	星期五	Sexta-feira
Full Tier	Full Tier	Nivel completo	完整编辑	Full Tier
Global Anti-Fraud Group Work	Csalásellenes Vizsgálat	Trabajo grupal global de lucha contra el fraude	全球反诈骗团队协作	Atividade do grupo global Anti-Fraude
Global support	Global támogatás	Soporte global	多办公室协作	Suporte Global
Health Care Assistance	Egészségügyi segítségnyújtás	Asistencia sanitaria	医疗健康帮助	Assistência de Saúde
Hide New Comment	Új megjegyzés elrejtése	Ocultar comentario nuevo	隐藏新的评论/备注	Esconder novo comentário
Hiring / Interview	Felvétel / interjú	Contratación / Entrevista	雇佣/面试	Contratando / Entrevista
Hiring / Onboarding Process	Felvétel / Beléptetési folyamat	Contratación / Proceso de incorporación	雇佣/员工入职流程	Contratando / Processo de Integração
Hold-A Management	Hold-A Kezelés	Gestión Hold-A	Hold-A 管理	Solução de Hold-A
Hold-B Management	Hold-B Kezelés	Gestión de Hold-B	Hold-B 管理	Solução de Hold-B
Home	Főoldal	Casa	主页	Início
IBAN Code / Bank Account Number	IBAN Kód / Számlaszám	Código IBAN / Número de cuenta bancaria	IBAN编号/银行账户账号	Código IBAN / Número da conta bancária
Id	Azonosító	ID	报告ID	Id
IN support	IN támogatás	En apoyo	IN 协助	Suporte IN
Independent User	Önáló felhasználó	Usuario independiente	独立用户	Usuário indepentende
Internal communication	Belső kommunikáció	Comunicación interna	内部沟通	Comunicação interna
Internal queries	Belső megkeresések	Consultas internas	内部询问	Pedidos internos
Internal reporting	Belső riportálás	Informes internos	内部汇报	Relatórios internos
Interoffice communication	Irodákközti kommunikáció	Comunicación entre oficinas	跨办公室沟通	Comunicação entre escritórios
Invoicing	Számlázás	Facturación	费用相关事宜	Faturando
IO communication	Irodákközti kommunikáció	Comunicación IO	IO 沟通	Comunicação IO
Is Fieldwork Partner	Fieldwork Partner?	Es socio de trabajo de campo	是否为团队成员？	É parceiro de campo
IsAgency?	Ügynökség?	IsAgency?	是否为供应商？	É agência?
IT_Admin Tasks	IT_admin feladatok	Tareas de IT_Admin	IT管理任务	Tarefas de TI_Admin
KAM Supervisor	KAM csoportvezető	Supervisor de KAM	KAM主管	Supervisor KAM
KPI Calculation	KPI számítás	Cálculo de KPI	KPI 计算	Cálculo KPI
Last login	Utolsó belépés	Último acceso	最后一次登录时间	Último login
Last Name	Vezetéknév	Apellido	姓氏	Sobrenome
Last Name	Vezetéknév	Apellido	姓氏	Sobrenome
Lead Research	Lead keresés	Investigación principal	主要研究	Pesquisa de lead
List timesheet entries	Jelenlétí ív tételeinek listázása	Enumerar las entradas de la hoja de horas	Timesheet 条目列表	Lista de horários da TimeSheet
List View	Listanézet	Vista de la lista	列表形式	Visualizar lista
Logout	Kijelentkezés	Cerrar sesión	登出	Sair
Managing Contractors, Vendors	Szolgáltatók kezelése	Gestión de contratistas, proveedores	承包商，供应商管理	Gerenciando parceiros
Material creation	Szakmai anyagok létrehozása	Creación de material	材料	Criação de material
Modified	Módosítva	Modificado	修改	Modificado
Monday	Hétfő	Lunes	星期一	Segunda-feira
More	Több	Más	更多	Mais
Name	Név	Nombre	姓名	Nome
Networking Events	Kapcsolatépítési események	Eventos de networking	网络事项	Eventos de networking
New Hire - Training	Újbelépó tréning	Contratación nueva: formación	新雇员-培训	Contratação - Treinamento
New Timesheet Entry	Új jelenléti ív tétel létrehozása	Nueva entrada de parte de horas	Timesheet 新项录入	Novo horário na TimeSheet
Next	Következő	Próximo	下一项	Próximo
No	Nem	No	否	Não
Office	Iroda	Oficina	办公室	Escritório
Office Management	Iroda kezelés	Gestión de oficinas	办公室主管	Gerenciamento de escritório
Official Jobtitle	Hivatalos Munkakör	Puesto oficial del trabajo	职位名称	Título de cargo oficial
OH and attributes calculation	OH és attribótum számítás	Cálculo de OH y atributos	OH和属性计算	Cálculo de OH e atribuições
Opt Fee is only applied if the starting status is Reviewed.	Az opciós díjat csak akkor alkalmazzák, ha a kiindulási státusz Reviewed.	La tarifa Opt solo se aplica si el estado inicial es Revisado.	选择性费用只有在开始状态为Reviewed才会生效	Fee opcional é apenas aplicada se o status primário é Reviewed.
Opt. Fee	Opt. díj	Opt Tarifa	选择性费用	Fee opcional
Organizing data, Making template	Adatok rendezése, sablon készítése	Organizar datos, hacer plantilla	数据整理及模板制作	Organizando dados, templade de marketing
Other Projects / Miscellaneous	Más projekt / Egyéb	Otros proyectos / Varios	其他任务/杂项	Outros projetos / Geral
P&L preparation	P&L készítés	Preparación de pérdidas y ganancias	利润分析准备	Preparação de P&L
Partner communication	Partner kommunikáció	Comunicación con socios	团队沟通	Comunicação com parceiro
Payment Issues	Kifizetési kérdések 	Problemas de pago	付款方式	Problemas de pagamentos
Payment Method	Fizatési mód	Método de pago	付款方式	Método de pagamento
People Development	munkavállaló fejlesztés	Desarrollo de las personas	员工发展沟通	Desenvolvimento de pessoas
People management	Munkavállaló kezelése	Gestión de personas	员工管理	Gerenciamento de pessoas
Performance tracking	Teljesítménymérés	Seguimiento de desempeño	员工表现追踪	Acompanhamento de performance
PH Support	PH támogatás	Soporte PH	PH 协助	Suporte PH
Phone Number	Telefonszám	Número de teléfono	手机号码	Número de telefone
Phone number	Telefonszám	Número de teléfono	手机号码	Número de telefone
Phone number isn't correct.	A telefonszém nem megfelelő.	El número de teléfono no es correcto.	电话号码不正确	Número de telefone incorreto.
Pitching	Előadás (Pitch)	Pitching	定位	Pitching
Planning workload	Munkaszervezés	Planificación de la carga de trabajo	工作计划安排	Planejamento de volume de trabalho
Please select	Kérem válasszon	Por favor seleccione	请选择	Por favor, selecione
Post advertisement	Hirdetésfeladás	Publicar anuncio	推广发布	Postagem de anúncio
Preferred Language	Nyelvválasztás	Idioma preferido	偏好语言	Idioma de preferência
Preparation for meetings	Megbeszélésre való felkészülés	Preparación para reuniones	会议准备	Preparação para reuniões
Prepare monthly Reports	Havi riportok elkészítése	Preparar informes mensuales	每月汇报准备	Preparação de relatórios mensais
Prepare Weekly Reports	Heti riportok elkészítése	Preparar informes semanales	每周汇报准备	Preparação de relatórios semanais
Previous	Előző	Previos	之前的	Anterior
Pricing Requests	Árazás	Solicitudes de precios	费用重设	Requisição de preço
Process control, review	Folyamatirányítás, felülvizsgálat	Control de procesos, revisión	流程管理和回顾	Controle/Revisão de processo
Process improvement	Folyamatfejlesztés	La mejora de procesos	流程优化	Melhoria de processo
Profile	Profil	Perfil	资料	Perfil
Project design	Projekt dizájn	Diseño de proyecto	项目设计	Desenho de projeto
Project review with ops/PM	Projekt felülvizsgálata ops/PM	Revisión del proyecto con ops / PM	项目回顾（与运营/项目经理）	Revisão de projeto com OPS/PM
Project Setup / Prepare Guideline / Briefing	Projekt felállítása / Útmutató  / tájékoztató előkészítése	Configuración del proyecto / Preparar pautas / Briefing	项目设置/指南准备/概述汇报	Setup de projeto / Preparação de manuais / Briefing
Providing training	Képzés tartása	Proporcionar formación	培训	Ministrando treinamento
PTO	PTO	PTO	带薪休假	Férias/Day Off/ Ausência Justificada
Quality check (Second Line Editing)	Minőségellenőrzés (2. szintű)	Control de calidad (edición de segunda línea)	质量检查（二轮编辑）	Checagem de qualidade (Segunda linha de edição)
Receiving training	Tréningen való részvétel	Recibiendo entrenamiento	接受培训	Recebendo treinamento
Recruitment	Toborzás	Reclutamiento	招聘	Recrutamento
Report automation	Jelentés automatizálás	Automatización de informes	报告自动化	Automatização de relatório
Reporting / Status Tracking /  Follow up	Jelentés / állapotkövetés / nyomon követés	Informes / Seguimiento de estado / Seguimiento	汇报/状态跟踪/跟进	Relatórios / Status / Follow up
Reset Caspian Password	Caspian Jelszó Visszaállítása	Restablecer la contraseña de Caspian	重设Caspian密码	Resetar senha do Caspian
Revenue Confirmation	Bevétel megerősítése	Confirmación de ingresos	盈利	Confirmação de receita
Review questionnaire / Shopper guideline	Kérdőív ellenőrzés / Vásárlói útmutató	Revisar el cuestionario / guía del comprador	查看问卷/评估员指南	Revisão de questionário / Manual de avaliador
Rework - Analyst	Újrafeldolgozás - Elemző	Retrabajo - Analista	修订-数据分析相关	Retrabalho - Analista
Rework - Client	Újrafeldolgozás - Ügyfél	Retrabajo - Cliente	修订-客户相关	Retrabalho - Cliente
Rework - KAM	Újrafeldolgozás - KAM	Retrabajo - KAM	修订-KAM相关	Retrabalho - KAM
RM Supervisor	RM Csoportvezető	Supervisor de RM	RM主管	Supervisor de Campo
Roles	Jogok	Roles	角色	Cargos
Rulez	Rulez	Rulez	Rulez	Rulez
Sales to Ops Transition	Sales to Ops Transition	Transición de ventas a operaciones	销售到运营间的转换	Transição de Sales to Ops
Saturday	Szombat	Sábado	星期六	Sábado
Save	Mentés	Ahorrar	保存	Salvar
Save Comment	Megjegyzés mentése	Guardar comentario	保存备注	Salvar comentário
Save Fee	Díj mentése	Guardar tarifa	保存费用	Salvar fee
Scheduling	Ütemezés	Asignación	分配	Agendamento
Search	Keresés	Buscar	搜索	Buscar
Select	Válasz	Seleccione	选择机构	Selecionar
Select Agency	Ügynökség kiválasztása	Seleccionar agencia	选择任务	Selecionar agência
Select task	Feladat kiválasztása	Seleccionar tarea	选择任务	Selecionar tarefa
Self Assigned	Self Assigned	Autoasignado	自行分配	Auto Agendado
SG support	SG támogatás	Soporte SG	新加坡协助	Suporte SG
Social Media	Social Media	Medios de comunicación social	社交媒体	Mídia Social
Spent hours	Óraszám	Horas pasadas	花费小时数	Horas gastas
Start	Kezdés	Comienzo	开始	Início
Start - End	Kezdés - Vég	Inicio fin	开始-结束	Início - Final
Start date:	Kedő dátum:	Fecha de inicio:	开始日期	Data de início:
Start time:	Kezdő idő:	Hora de inicio:	开始时间	Horário de início:
Sunday	Vasárnap	Domingo	星期天	Domingo
Supervisor Name	Csoportvezető neve	Nombre del supervisor	主管姓名	Nome do supervisor
Support	Támogatás	Apoyo	协助	Suporte
Surfmerchants	Surfmerchants	Surfmerchants	Surfmerchants	Surfmerchants
Survey	kérdőív	Encuesta	问卷名称	Survey
Switch to	Válts erre	Cambiar a	转换为	Trocar para
Task	Feladat	Tarea	任务	Tarefa
Task:	Feladat:	Tarea:	任务：	Tarefa:
The right format is 'hh:mm'	"A megfelelő formátum: ""óó: mm"""	El formato correcto es 'hh: mm'	正确的格式应为 'hh:mm'	O formato correto é: 'hh:mm'
This field can't be empty!	Ez a mező nem lehet üres!	¡Este campo no puede estar vacío!	此部分需要进行填写。	Esse campo não pode estar vazio
Thursday	Csütörtök	Jueves	星期四	Quinta-feira
Tier	Tier	Nivel	轮次	Tier
Tier 1	Tier 1	Nivel 1	一轮	Tier 1
Tier 2	Tier 2	Nivel 2	二轮	Tier 2 
Timesheet	Jelenléti ív	Hoja de horas	Timesheet	TimeSheet
Timesheetuser Username	Jelenléti ív felhasználó felhazsnálóneve	Nombre de Usuario de Timesheet Usuario 	Timesheet 用户名称	Nome do usuário da TimeSheet
Today	Ma	Hoy	今天	Hoje
Tracker handling	Tracker kezelés	Manejo del rastreador	跟踪处理	Gerenciamento de Acompanhamento
Training - Self	Tréning - saját	Entrenamiento - Auto	自我培训	Treinamento - próprio
Training - Self / coaching team member / external	Tréning - saját / csapat társ / külsős	Capacitación: autónoma / miembro del equipo de coaching / externa	培训-自己/团队成员/外部人员	Treinamento - próprio / membro do time / externo
Training / Briefing Shopper	Tréning / Próbavásárló képzés	Comprador de formación / información	培训/反馈评估员	Treinamento / Manual com avaliador
Training / coaching team member / external	Tréning - saját / csapat társ / külsős	Miembro del equipo de formación / coaching / externo	培训/教导团队成员/外部成员	Treinamento / membro do time / externo
Translation	Fordítás	Traducción	翻译事宜	Tradução
Translation of Guidelines, other documents, etc.	Iránymutatások, egyéb dokumentumok fordítása	Traducción de directrices, otros documentos, etc.	指南或者其他文档等的翻译	Tradução de manuais, outros documentos, etc.
Tuesday	Kedd	Martes	星期二	Terça-feira
Type your comment here…	Megjegyzés…	Escriba aquí su comentario...	填写备注	Digite seu comentário aqui...
Type to search…	Keresés megadás…	Escribe para buscar…	输入搜索关键词	Digite para pesquisar...
US support	US támogatás	Apoyo de EE. UU.	US 协助	Suporte US
Use the arrow keys on the keyboard (Up, Down) to change the selection. Columns can be resized by the oblique lines in the header, rows can be resized by the oblique lines in the first cell.	A kiválasztás módosításához használja a billentyűzet nyílgombjait (Fel, Le). Az oszlopok átméretezhetők a fejléc ferde vonalaival, a sorok pedig az első cellában lévő ferde vonalakkal.	Utilice las teclas de flecha del teclado (arriba, abajo) para cambiar la selección. Las columnas se pueden cambiar de tamaño por las líneas oblicuas en el encabezado, las filas se pueden cambiar por las líneas oblicuas en la primera celda.	使用键盘上的方向键(上、下)来更改选择。可以通过标题中的斜线调整列的大小，可以通过第一个单元格中的斜线调整行大小。	Use a setas em seu teclado (cima e baixo) para mudar a seleção. O tamanho das colunas e linhas podem ser ajustadas na primeira célula.
User Id	Felhasználó azonosító	ID de Usuario	用户ID	ID de usuário
User Name	Felhasználónév	Nombre de usuario	用户名	Nome de usuário
User Type	Felhasználó típus	Tipo de usuario	用户类型	Tipo de usuário
User With Agency	Ügynökség felhasználója	Usuario con Agencia	供应商用户	Usuário com agência
VAT/GST tax preparation and filing	ÁFA / GST adó előkészítése és benyújtása	Preparación y presentación de impuestos de IVA / GST	增值税/消费税的税务准备和申报	Preparação e arquivamento de imposto VAT/GST 
Vendor	Szolgáltató	Vendedor	供应商	Fornecedor
Vendor Fees	Szolgáltatói díjak	Tarifas de proveedores	供应商费用	Fee de fornecedor
Vendor Id	Szolgáltatói azonosító	Id del proveedor	供应商ID	ID de fornecedor
Vendor Invoicing	Szolgáltatói számlázás	Facturación de proveedores	供应商	Nota fiscal de fornecedor
Vendor Name	Szolgáltatói neve	Nombre del vendedor	供应商名称	Nome de fornecedor
Vendor payments	Szolgáltatói kifizetések	Pagos a proveedores	供应商付款情况	Pagamentos de fornecedor
Wave	Wave	Wave	轮次	Onda
Wednesday	Szerda	Miércoles	星期三	Quarta-feira
Weekdays	Hétköznapok	Días laborables	工作日	Dias úteis
Western Union Address	Western Union cím	Dirección de Western Union	西部联盟电报公司地址	Endereço Western Union
Whole Week	Teljes hét	Toda la semana	整周	Semana completa
Yes	Igen	Sí	是	Sim
